node,degree,pagerank,pagerank_norm,kcore,membership_infomap
V1,11,0.0173232444832657,0.426635025213893,3,1
V2,15,0.0227886667390276,0.622695688606654,3,1
V3,19,0.0288279525165071,0.839342513049688,3,1
V4,5,0.00797175041726918,0.091169612937682,3,1
V5,18,0.0267938653374589,0.766373863408304,3,1
V6,20,0.0307648791227919,0.908825729094142,3,1
V7,22,0.0333064694690588,1,3,1
V8,20,0.030708810411561,0.906814380619117,3,1
V9,8,0.0127278435758278,0.2617845693286,3,1
V10,21,0.0322022949824896,0.960390035351818,3,1
V11,15,0.0235254881416194,0.649127624920784,3,1
V12,5,0.0084570117688088,0.108577355294903,3,1
V13,8,0.0126504805082934,0.259009330082099,3,1
V14,12,0.0193693021217699,0.500033090207325,3,1
V15,8,0.0128360941863147,0.265667834977904,3,1
V16,10,0.0160667081832648,0.38155939719713,3,1
V17,3,0.00543028991735942,0,3,1
V18,4,0.00695377511192475,0.0546518647485343,3,1
V19,8,0.0130687747623257,0.274014767009225,3,1
V20,5,0.00839148666095422,0.106226778246385,3,1
V21,3,0.00551589064842573,0.00307074830349512,3,1
V22,6,0.00989148005753037,0.160035923570416,3,1
V23,8,0.0129540022009888,0.269897539929237,3,1
V24,5,0.00835690073477747,0.104986080032607,3,1
V25,7,0.0116310604259416,0.222439753520823,3,1
V26,7,0.0120064020724927,0.235904354932754,3,1
V27,4,0.00709220472199715,0.0596177392800734,3,1
V28,5,0.00848669177163895,0.10964206370572,3,1
V29,6,0.0102020542299852,0.171177126470148,3,1
V30,6,0.0104431475676566,0.179825848839879,3,1
V31,5,0.00855875824860785,0.112227298774796,3,1
V32,6,0.0103579492862044,0.176769537579785,3,1
V33,6,0.0102838939475176,0.174112956230484,3,1
V34,7,0.0118154939525112,0.229055922936273,3,1
V35,5,0.00871009742105908,0.11765627702379,3,1
V36,4,0.00704477144623016,0.0579161691033202,3,1
V37,7,0.011779778345099,0.227774699756247,3,1
V38,5,0.00927600410813626,0.13795700316984,3,1
V39,5,0.00878571139375767,0.120368771128599,3,1
V40,4,0.00710131970370348,0.0599447203030441,3,1
V41,5,0.00865924680862716,0.115832116997212,3,1
V42,4,0.00720966946863712,0.063831542912028,3,1
V43,8,0.0133295014752976,0.283367795909343,3,1
V44,6,0.0102582022856,0.173191321260028,3,1
V45,7,0.0124469631657219,0.251708568433824,3,1
V46,7,0.0118672616239995,0.230912980550365,3,1
V47,3,0.00592835883742656,0.0178671872572571,3,1
V48,4,0.00725186028710245,0.0653450508296779,3,1
V49,4,0.00729019364344899,0.0667201803116591,3,1
V50,6,0.0105668335073932,0.184262824843252,3,1
V51,4,0.00717177781748131,0.0624722586856679,3,1
V52,4,0.00745232454869227,0.0725362895436502,3,1
V53,5,0.0086825677194307,0.116668706199125,3,1
V54,3,0.00589354521127357,0.0166183207801122,3,1
V55,5,0.00890289105600465,0.124572347950511,3,1
V56,3,0.00568196760400259,0.00902841388922758,3,1
V57,5,0.00889133684231197,0.124157864550042,3,1
V58,5,0.00892192253143294,0.125255062574049,3,1
V59,5,0.00858987645485468,0.113343599743841,3,1
V60,4,0.00727685817414693,0.0662417980685927,3,1
V61,4,0.00766169385278678,0.0800469781480987,3,1
V62,3,0.0056580892998637,0.00817182935996677,3,1
V63,3,0.0056801174759614,0.00896204439129284,3,1
V64,3,0.00568861643738019,0.00926692696686352,3,1
V65,4,0.00704353041633103,0.0578716497352042,3,1
V66,5,0.00916715776670582,0.134052366911182,3,1
V67,3,0.00572961009225078,0.0107374891288899,3,1
V68,4,0.00731584035020363,0.0676402026090862,3,1
V69,4,0.00743578590750413,0.071943000167053,3,1
V70,3,0.00599687517054689,0.0203250682948384,3,1
V71,8,0.0136415723251542,0.294562688999977,3,1
V72,4,0.00742602974326536,0.0715930180534467,3,1
V73,6,0.0103265705262274,0.17564388978724,3,1
V74,3,0.0057021556092655,0.00975261661670218,3,1
V75,3,0.00587982611351299,0.016126176663479,3,1
V76,3,0.00581695250927686,0.0138707167960492,3,1
V77,3,0.00600275522962544,0.0205360031924143,3,1
V78,5,0.00884909340446362,0.122642469021397,3,1
V79,4,0.00740284076908909,0.0707611618038029,3,1
V80,3,0.0054683280421964,0.00136453866522261,3,1
V81,3,0.00578246340400409,0.0126334918309565,3,1
V82,4,0.00735053577078816,0.0688848287071559,3,1
V83,3,0.00562687970144711,0.00705224988679285,3,1
V84,5,0.00903032523387097,0.12914378420597,3,1
V85,3,0.0055686370933737,0.00496291738104574,3,1
V86,3,0.00577063265002684,0.012209088122575,3,1
V87,3,0.00559142199942834,0.00578027852669254,3,1
V88,3,0.00572909703562074,0.0107190842886897,3,1
V89,3,0.00596669145895698,0.0192422903792372,3,1
V90,3,0.00559003541695805,0.00573053776262138,3,1
V91,4,0.00752711745013491,0.0752193294237718,3,1
V92,3,0.00579650176689962,0.0131370889207045,3,1
V93,3,0.00573310668041939,0.010862921961683,3,1
V94,3,0.00607386023854021,0.0230867475934864,3,1
V95,3,0.00566829841177561,0.0085380600298825,3,1
V96,3,0.00573764098384633,0.011025580672448,3,1
V97,3,0.00589691190946674,0.016739094080016,3,1
V98,4,0.00757279093450321,0.0768577707418724,3,1
V99,3,0.00570808321817882,0.00996525726576701,3,1
V100,3,0.00565356783510893,0.00800963120987984,3,1
