network,degree,Prob
network_1.graphml,2,0.09
network_1.graphml,3,0.16
network_1.graphml,4,0.17
network_1.graphml,5,0.24
network_1.graphml,6,0.11
network_1.graphml,7,0.08
network_1.graphml,8,0.07
network_1.graphml,9,0.01
network_1.graphml,10,0.02
network_10.graphml,3,0.34
network_10.graphml,4,0.18
network_10.graphml,5,0.14
network_10.graphml,6,0.09
network_10.graphml,7,0.05
network_10.graphml,8,0.02
network_10.graphml,9,0.04
network_10.graphml,10,0.01
network_10.graphml,11,0.03
network_10.graphml,12,0.03
network_10.graphml,13,0.01
network_10.graphml,14,0.02
network_10.graphml,16,0.01
network_10.graphml,18,0.01
network_10.graphml,24,0.01
network_10.graphml,25,0.01
network_2.graphml,2,0.14
network_2.graphml,3,0.12
network_2.graphml,4,0.18
network_2.graphml,5,0.25
network_2.graphml,6,0.11
network_2.graphml,7,0.06
network_2.graphml,8,0.04
network_2.graphml,9,0.03
network_2.graphml,10,0.02
network_2.graphml,12,0.01
network_3.graphml,2,0.08
network_3.graphml,3,0.17
network_3.graphml,4,0.19
network_3.graphml,5,0.18
network_3.graphml,6,0.1
network_3.graphml,7,0.11
network_3.graphml,8,0.09
network_3.graphml,9,0.03
network_3.graphml,12,0.01
network_4.graphml,3,0.31
network_4.graphml,4,0.19
network_4.graphml,5,0.18
network_4.graphml,6,0.08
network_4.graphml,7,0.06
network_4.graphml,8,0.07
network_4.graphml,10,0.01
network_4.graphml,11,0.01
network_4.graphml,12,0.01
network_4.graphml,15,0.02
network_4.graphml,18,0.01
network_4.graphml,19,0.01
network_4.graphml,20,0.02
network_4.graphml,21,0.01
network_4.graphml,22,0.01
network_5.graphml,3,0.35
network_5.graphml,4,0.21
network_5.graphml,5,0.06
network_5.graphml,6,0.18
network_5.graphml,7,0.02
network_5.graphml,8,0.04
network_5.graphml,9,0.01
network_5.graphml,10,0.01
network_5.graphml,11,0.01
network_5.graphml,12,0.02
network_5.graphml,13,0.02
network_5.graphml,14,0.02
network_5.graphml,15,0.01
network_5.graphml,20,0.02
network_5.graphml,24,0.01
network_5.graphml,28,0.01
network_6.graphml,3,0.37
network_6.graphml,4,0.16
network_6.graphml,5,0.13
network_6.graphml,6,0.1
network_6.graphml,7,0.06
network_6.graphml,8,0.02
network_6.graphml,9,0.01
network_6.graphml,11,0.04
network_6.graphml,12,0.02
network_6.graphml,13,0.02
network_6.graphml,14,0.02
network_6.graphml,16,0.01
network_6.graphml,17,0.01
network_6.graphml,18,0.01
network_6.graphml,22,0.01
network_6.graphml,26,0.01
network_7.graphml,3,0.32
network_7.graphml,4,0.25
network_7.graphml,5,0.09
network_7.graphml,6,0.09
network_7.graphml,7,0.06
network_7.graphml,8,0.03
network_7.graphml,9,0.02
network_7.graphml,10,0.03
network_7.graphml,11,0.01
network_7.graphml,12,0.02
network_7.graphml,13,0.01
network_7.graphml,14,0.01
network_7.graphml,15,0.01
network_7.graphml,17,0.02
network_7.graphml,21,0.02
network_7.graphml,26,0.01
network_8.graphml,3,0.36
network_8.graphml,4,0.21
network_8.graphml,5,0.09
network_8.graphml,6,0.1
network_8.graphml,7,0.07
network_8.graphml,8,0.05
network_8.graphml,11,0.02
network_8.graphml,13,0.03
network_8.graphml,14,0.03
network_8.graphml,15,0.01
network_8.graphml,16,0.01
network_8.graphml,31,0.01
network_8.graphml,37,0.01
network_9.graphml,3,0.38
network_9.graphml,4,0.17
network_9.graphml,5,0.12
network_9.graphml,6,0.08
network_9.graphml,7,0.07
network_9.graphml,8,0.05
network_9.graphml,9,0.01
network_9.graphml,10,0.03
network_9.graphml,12,0.01
network_9.graphml,13,0.01
network_9.graphml,14,0.01
network_9.graphml,16,0.01
network_9.graphml,19,0.01
network_9.graphml,20,0.01
network_9.graphml,23,0.01
network_9.graphml,26,0.01
network_9.graphml,27,0.01
